iter: 1000, train loss: 7.0207, valid recall[@10]: 0.0090, valid nDCG[@10]: 0.0045
iter: 60000, train loss: 3.4398, valid recall[@10]: 0.1730, valid nDCG[@10]: 0.1013
iter: 61000, train loss: 3.4245, valid recall[@10]: 0.1530, valid nDCG[@10]: 0.0876
iter: 62000, train loss: 3.4286, valid recall[@10]: 0.1620, valid nDCG[@10]: 0.1009
iter: 63000, train loss: 3.4285, valid recall[@10]: 0.1730, valid nDCG[@10]: 0.1023
iter: 64000, train loss: 3.4252, valid recall[@10]: 0.1680, valid nDCG[@10]: 0.1012
iter: 65000, train loss: 3.4297, valid recall[@10]: 0.1840, valid nDCG[@10]: 0.1039
iter: 66000, train loss: 3.4234, valid recall[@10]: 0.1720, valid nDCG[@10]: 0.1059
iter: 67000, train loss: 3.4150, valid recall[@10]: 0.1670, valid nDCG[@10]: 0.1067
iter: 68000, train loss: 3.4039, valid recall[@10]: 0.1670, valid nDCG[@10]: 0.0962
iter: 69000, train loss: 3.4137, valid recall[@10]: 0.1690, valid nDCG[@10]: 0.1081
iter: 70000, train loss: 3.4075, valid recall[@10]: 0.1640, valid nDCG[@10]: 0.0964
test recall[@10, @20]: [0.1326, 0.1865], test nDCG[@10, @20]: [0.0758, 0.0894]
